DQN,GA,SA,DE,AFSA
1.1759656262389713,1.19185792,1.191857915,1.18211369,1.186775122
1.3362338895130441,1.33026243,1.376156566,1.33827823,1.347461467
1.493955498223879,1.51228682,1.52200242,1.49223326,1.504491892
1.6433589203732435,1.67836751,1.6860871,1.64814799,1.675503828
1.792366117694522,1.80199816,1.803646582,1.80721148,1.832594538
1.9526720726443123,1.95761986,1.968765161,1.95948313,1.981018507
2.1156691845856157,2.11761654,2.109059997,2.11087981,2.122686159
2.261458131542452,2.26371415,2.438524658,2.26432824,2.295457988
2.4181614247656196,2.42019997,2.465405442,2.42317435,2.424323386
